paradigm,beta_L,beta_Q,seed,federated_method,fedprox_mu,f1_global_macro,f1_per_client_macro,mse_macro,ece_macro,F1_global_AlveolarOsteitis,F1_per_client_AlveolarOsteitis,MSE_AlveolarOsteitis,ECE_AlveolarOsteitis,F1_global_SecondaryInfection,F1_per_client_SecondaryInfection,MSE_SecondaryInfection,ECE_SecondaryInfection,F1_global_NerveDysesthesia,F1_per_client_NerveDysesthesia,MSE_NerveDysesthesia,ECE_NerveDysesthesia,F1_global_Bleeding,F1_per_client_Bleeding,MSE_Bleeding,ECE_Bleeding,disagreement_per_client_macro,disagreement_global_macro,fleiss_kappa_per_client_macro,fleiss_kappa_global_macro,partition_beta_L,partition_beta_Q,partition_label,partition_min_size,partition_mean_kl_divergence,partition_std_kl_divergence,partition_min_client_size,partition_max_client_size,partition_std_client_size
centralized,1.0,2.5,42,,,0.7603911801143792,0.660671948568994,0.000293035639970185,0.0020895439250937973,0.8335060525617083,0.6827606348425043,0.0006677682977169752,0.0035460359665254746,0.8186975270168998,0.7094304786395534,0.00044025119859725237,0.0030071095277865727,0.649784704401065,0.6219667947108319,3.887034472427331e-05,0.0010539567338613172,0.7395764364778438,0.6285298860830862,2.525271884223912e-05,0.0007510734722018242,0.7076666666666667,0.0,0.5056423432750918,1.0,1.0,2.5,Risk_Category_Composite,100,0.521720014798082,0.537648836056454,865,10805,2567.997235201004
local,1.0,2.5,42,,,0.3755407483222648,0.4541972124617821,0.0017177685180286063,0.011928419936820865,0.4808089938387286,0.5404594449228186,0.0038177458802238105,0.022786833537121614,0.4343343705703771,0.527347209874383,0.0027238076203502716,0.01676721728059153,0.2683258766785426,0.368092736875307,0.0002171688451198861,0.004501307616010308,0.31869375220141094,0.38088945817461967,0.00011235172642045654,0.003658321313560009,0.9948333333333333,0.9978333333333333,0.23392240503403408,0.17664075694553585,1.0,2.5,Risk_Category_Composite,100,0.521720014798082,0.537648836056454,865,10805,2567.997235201004
federated,1.0,2.5,42,fedavg,0.0,0.5921881177582763,0.6021672510945847,0.000601984571403591,0.0038107009291027984,0.7354601772501749,0.6576557010567775,0.00129994738381356,0.008180596679449082,0.6972946385484677,0.6769199639534911,0.00097260857000947,0.005417486713578304,0.3742964678822209,0.5191655304126436,9.285294800065458e-05,0.0006946390494704247,0.5617011873522418,0.5549278089554264,4.2529383790679276e-05,0.0009500812739133835,0.6590833333333332,0.0,0.5805649010768238,1.0,1.0,2.5,Risk_Category_Composite,100,0.521720014798082,0.537648836056454,865,10805,2567.997235201004
federated,1.0,2.5,42,fedprox,0.0005,0.5928469287205173,0.6014098325216872,0.0006047475899322308,0.003792045303930839,0.734402311714817,0.6573537884481543,0.0013119201175868511,0.008369480565190315,0.6967032203186211,0.6760856245832603,0.0009715655469335616,0.005292318051060041,0.37599463955481277,0.5187514227099169,9.309704910265282e-05,0.0006537856534123421,0.5642875432938183,0.5534484943454177,4.2407646105857566e-05,0.0008525969460606575,0.6590833333333334,0.0,0.5795409108178866,1.0,1.0,2.5,Risk_Category_Composite,100,0.521720014798082,0.537648836056454,865,10805,2567.997235201004
federated,1.0,2.5,42,fedprox,0.001,0.5911886944070929,0.600645898406212,0.0006101376347942278,0.003956424476578831,0.7325922032208388,0.6554506565390374,0.0013267911272123456,0.008717091538012027,0.6980745640966068,0.6756526235430318,0.0009776732185855508,0.005318543843924999,0.3723919689779574,0.5188858515871955,9.325511928182095e-05,0.0007877405732870102,0.5616960413329687,0.5525944619555833,4.283107409719378e-05,0.0010023219510912895,0.6581666666666667,0.0,0.5797710806388722,1.0,1.0,2.5,Risk_Category_Composite,100,0.521720014798082,0.537648836056454,865,10805,2567.997235201004
federated,1.0,2.5,42,fedprox,0.005,0.5873544082376685,0.5996224552927963,0.000628917418907804,0.003965519584404926,0.729540446865438,0.6552592733387291,0.0013399942545220256,0.00835951739922166,0.6871807483326896,0.6742892856802793,0.0010363913606852293,0.005715561533967654,0.36808563821277546,0.5140677379591899,9.602121281204745e-05,0.000807933509349823,0.5646107995397709,0.5548735241929871,4.326284761191346e-05,0.0009790658950805664,0.6550833333333334,0.0,0.5839251506899468,1.0,1.0,2.5,Risk_Category_Composite,100,0.521720014798082,0.537648836056454,865,10805,2567.997235201004
federated,1.0,2.5,42,fedprox,0.01,0.5863983765619978,0.5967723732841238,0.0006477298375102691,0.003971086416083077,0.7230778341954038,0.6537044037406302,0.0013734903186559677,0.008382903655370076,0.6878292986442555,0.6707673702048785,0.0010735145770013332,0.005568738119055827,0.3686725926609004,0.5098968433581071,9.921807213686407e-05,0.0008416250348091125,0.5660137807474315,0.5527208758328795,4.4696382246911526e-05,0.0010910788550972939,0.6519166666666667,0.0,0.5875217349527797,1.0,1.0,2.5,Risk_Category_Composite,100,0.521720014798082,0.537648836056454,865,10805,2567.997235201004
federated,1.0,2.5,42,fedprox,0.05,0.5621602765470434,0.5788160229998945,0.0007409600284518092,0.004157784153396884,0.6972195883843737,0.6383891738220573,0.0015023468295112252,0.007965535928805667,0.6719206110268381,0.6601948663482061,0.0012886776821687818,0.005934382682045301,0.3384826350179611,0.4707554760578927,0.00012277762289159,0.001333083026111126,0.5410182717590005,0.545924575771422,5.0037979235639796e-05,0.0013981349766254425,0.63225,0.0,0.6166392726230744,1.0,1.0,2.5,Risk_Category_Composite,100,0.521720014798082,0.537648836056454,865,10805,2567.997235201004
federated,1.0,2.5,42,fedprox,0.1,0.5226878414389122,0.5543176904106292,0.0008316535104313516,0.003994015738988916,0.6657418965813836,0.6255231535102409,0.0015984229976311326,0.006906748915712039,0.6357952148697642,0.6382993244192631,0.0015210530254989862,0.005563401430845261,0.3137296694610533,0.42980291285002353,0.00015057904238346964,0.0019659707322716713,0.4754845848434475,0.523645370862989,5.6558976211817935e-05,0.0015399418771266937,0.5985,0.0,0.6548276930236152,1.0,1.0,2.5,Risk_Category_Composite,100,0.521720014798082,0.537648836056454,865,10805,2567.997235201004
